egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
sntr,incense (frankincense),commodities,incense,sntr,SNTR,HT96a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),11,14,4,si+mi+ta+ru,SNTR,conventional,"AROM,GRA",True,90.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,HT128a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),3,5,3,mu+nu+se,NNS,expanded,GRA,True,80.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT27b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),2,4,3,sa+sa+re,SSR,expanded,"GRA,VIN",True,80.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,ZAZg35,Zakros,,LM IA,Label,4,6,3,se+se+ro,SSR,expanded,AU,True,80.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,KH7a,Khania,clay,Uncertain,tablet (page-shaped),7,9,3,qa+du+du,PTT,expanded,"CYP,VIR",True,75.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,ZA11a,Zakros,stone,Uncertain,stone vessel,4,6,3,so+ta+ra,STR,expanded,VIN,True,75.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,ZA15a,Zakros,stone,Uncertain,stone vessel,10,12,3,za+do+re,STR,expanded,VIN,True,75.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT18,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,se+sa+ra,SSR,conventional,GRA,True,75.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT27b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),2,4,3,sa+sa+re,SSR,conventional,"GRA,VIN",True,75.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT27b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),5,7,3,se+sa+re,SSR,conventional,VIN,True,75.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT28b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),7,9,3,si+sa+ra,SSR,conventional,GRA,True,75.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,HT30,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,si+sa+ra,SSR,conventional,CYP,True,75.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,IOZa16,Iouktas,stone,Uncertain,stone vessel,1,3,3,sa+sa+ra,SSR,conventional,AROM,True,75.0
swD,transmit/hand over,trade,action,swD,SWT,ZAZg35,Zakros,,LM IA,Label,4,6,3,se+wa+de,SWT,conventional,AU,True,75.0
TXnw,Libyan oil (specific),commodities,oil,TXn,TKN,HT116a,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),9,11,3,te+ki+nu,TKN,conventional,"GRA,OLE,OLIV",True,75.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),3,5,3,pa+de+tu,PTT,conventional,VIN,True,70.0
swt,wheat (swt),agriculture,grain,swt,SWT,ZAZg35,Zakros,,LM IA,Label,4,6,3,se+wa+de,SWT,conventional,AU,True,70.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,KH6,Khania,clay,LM IB,tablet (page-shaped),0,2,3,si+te+re,STR,conventional,CYP,True,70.0
jrtt,milk,agriculture,food,rtt,RTT,HT17,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,ra+ti+te,RTT,conventional,VIN,True,70.0
jrtt,milk,agriculture,food,rtt,RTT,HT19,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,ra+ti+te,RTT,conventional,VIN,True,70.0
jrtt,milk,agriculture,food,rtt,RTT,KO(?)Zf2,Kophinas,metal,Uncertain,metal object,9,11,3,ro+ta+de,RTT,conventional,AU,True,70.0
nbw,gold,metals,precious,nbw,NPW,HT154a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),1,3,3,me+pa+ja,NPW,conventional,"GRA,OLIV",True,70.0
Sndt,acacia wood,materials,wood,Sndt,SNTT,HT85b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),12,15,4,so+ne+di+du,SNTT,expanded,,False,70.0
Sndt2,acacia (alt. form),materials,wood,Sndt,SNTT,HT85b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),12,15,4,so+ne+di+du,SNTT,expanded,,False,70.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT96a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),15,17,3,ni+ti+du,NTT,expanded,GRA,True,70.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT128a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),10,12,3,mi+ta+di,NTT,expanded,GRA,True,70.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,PYR1,Pyrgos,clay,LM IB,tablet (page-shaped),2,4,3,mu+ti+te,NTT,expanded,VIN,True,70.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HT108,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),0,2,3,ki+ne+du,KNT,expanded,VIR,True,70.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT94a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),0,2,3,ka+pa+ta,KPT,expanded,VIR,True,70.0
nfr,good/beautiful (quality grade),administrative,quality,nfr,NPR,HT30,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),3,5,3,ni+pi+ro,NPR,expanded,"CYP,OLE,VIN",True,70.0
rnp,year (dating),administrative,scribal,rnp,RNP,HT90,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),10,12,3,ri+nu+pu,RNP,expanded,GRA,True,70.0
rnp,year (dating),administrative,scribal,rnp,RNP,HT96b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),5,7,3,ra+ne+pu,RNP,expanded,GRA,True,70.0
rnp,year (dating),administrative,scribal,rnp,RNP,KH86,Khania,clay,LM IB,tablet (page-shaped),0,2,3,re+ne+pi,RNP,expanded,CYP,True,70.0
Sndt,acacia wood,materials,wood,Sndt,SNTT,HT104,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),4,7,4,se+ne+ti+du,SNTT,conventional,,False,65.0
Sndt,acacia wood,materials,wood,Sndt,SNTT,HTZd157+156,Haghia Triada,,LM IB,Graffito,2,5,4,su+ma+ti+ti,SNTT,conventional,,False,65.0
Sndt,acacia wood,materials,wood,Sndt,SNTT,KNZf31,Knossos,metal,Uncertain,metal object,2,5,4,za+ne+da+du,SNTT,conventional,,False,65.0
Sndt,acacia wood,materials,wood,Sndt,SNTT,ZA20,Zakros,stone,LM IB,stone vessel,3,6,4,se+mi+te+tu,SNTT,conventional,,False,65.0
Sndt2,acacia (alt. form),materials,wood,Sndt,SNTT,HT104,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),4,7,4,se+ne+ti+du,SNTT,conventional,,False,65.0
Sndt2,acacia (alt. form),materials,wood,Sndt,SNTT,HTZd157+156,Haghia Triada,,LM IB,Graffito,2,5,4,su+ma+ti+ti,SNTT,conventional,,False,65.0
Sndt2,acacia (alt. form),materials,wood,Sndt,SNTT,KNZf31,Knossos,metal,Uncertain,metal object,2,5,4,za+ne+da+du,SNTT,conventional,,False,65.0
Sndt2,acacia (alt. form),materials,wood,Sndt,SNTT,ZA20,Zakros,stone,LM IB,stone vessel,3,6,4,se+mi+te+tu,SNTT,conventional,,False,65.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT40,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,nu+du+te,NTT,conventional,GRA,True,65.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT95a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),2,4,3,ma+ta+da,NTT,conventional,GRA,True,65.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT128a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),10,12,3,mi+ta+di,NTT,conventional,GRA,True,65.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,HT14,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,te+pu+na,TPN,conventional,"GRA,OLIV,VIN",True,65.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,KO(?)Zf2,Kophinas,metal,Uncertain,metal object,11,13,3,de+po+ni,TPN,conventional,AU,True,65.0
nswt,king,administrative,titles,nswt,NSWT,ZA6a,Zakros,stone,Uncertain,stone vessel,1,4,4,na+sa+wa+te,NSWT,expanded,,False,65.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT94a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),0,2,3,ka+pa+ta,KPT,conventional,VIR,True,65.0
nfr,good/beautiful (quality grade),administrative,quality,nfr,NPR,HT28b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),10,12,3,ni+pu+ra,NPR,conventional,VIN,True,65.0
